PetName,AnimalType,PetAge,PetSize,Color,Breed,Distance
ROSCOE,DOG,5 YEARS,MED,BROWN / WHITE,PIT BULL TER,5 Miles Away
CHARLIE,DOG,7 YEARS,MED,WHITE / BROWN,PIT BULL TER / BOXER,2 Miles Away
SILVER,CAT,10 YEARS,MED,BLACK,DOMESTIC SH,11 Miles Away
MITTENS,CAT,1 YEAR 1 MONTH,MED,DIL TORTIE,DOMESTIC SH,20 Miles Away
LALA,DOG,9 MONTHS,MED,BROWN / WHITE,SIBERIAN HUSKY,30 Miles Away
BULLET,DOG,1 YEAR 9 MONTHS,LARGE,BLACK / WHITE,LABRADOR RETR,16 Miles Away
HOOCH,DOG,2 YEARS,LARGE,WHITE,SIBERIAN HUSKY / MIX,34 Miles Away
SIMBA,DOG,1 YEAR 4 MONTHS,MED,GRAY,PIT BULL TER,7 Miles Away
PENGUIN,DOG,2 YEARS,SMALL,BROWN,PIT BULL TER,20 Miles Away
PEPITO,DOG,2 YEARS,MED,BLACK / WHITE,POINTER,1 Mile Away
RINGO,CAT,4 YEARS,MED,BRN TABBY / GRAY TAB,DOMESTIC SH,30 Miles Away
